"dataset_id","scientific_name","common_name","site_name","colony_name","lat_colony","lon_colony","device","bird_id","track_id","original_track_id","age","sex","breed_stage","breed_status","date_gmt","time_gmt","latitude","longitude","argos_quality","equinox"
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-08,"02:42:37",-35.49187,-55.2758,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-08,"14:37:37",-35.51386,-55.25328,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-09,"02:33:27",-35.53588,-55.23073,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-09,"14:32:12",-35.55798,-55.2081,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-07-09,"02:33:52",-36.365,-52.2575,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-16,"14:33:47",-35.9337,-55.24644,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-05-31,"02:36:23",-35.36318,-54.77567,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-05-31,"14:36:04",-35.57221,-55.00965,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-10,"02:35:07",-35.58021,-55.18532,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-10,"14:39:48",-35.6025,-55.1625,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-14,"02:40:01",-35.285,-55.0425,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-14,"14:38:21",-35.28833,-54.96516,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-15,"02:41:59",-35.29168,-54.88724,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-15,"14:39:24",-35.295,-54.81,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-16,"02:32:39",-35.6126,-55.02702,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-07-27,"02:46:47",-35.19774,-54.81025,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-07-27,"14:42:12",-35.26557,-54.88553,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-07-28,"02:40:50",-35.3337,-54.96114,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-07-28,"14:46:34",-35.4025,-55.0375,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-24,"14:34:30",-35.075,-53.105,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-05-18,"02:29:24",-35.46,-53.2375,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-25,"14:33:45",-35.395,-52.8625,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-08-16,"20:42:12",-35.63832,-52.93355,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-07-14,"08:47:40",-34.74484,-56.71525,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-07-15,"02:54:35",-34.6,-57.2275,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-05-19,"14:30:40",-36.2,-53.5475,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-06-29,"02:38:54",-36.4175,-53.9725,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-05-24,"02:30:36",-35.845,-53.4675,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-07-09,"14:38:52",-35.6575,-53.4875,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-07-10,"02:42:12",-35.56111,-53.8284,NA,NA
