"sp_files","n_used","eezs_used","eezs_sovereigns_used"
"Fulmarus glacialoides_Antarctica.tif",10,"Macquarie Island_Antarctica_Heard and McDonald Islands_Australia_Amsterdam and Saint Paul Islands_New Zealand_NA_Kerguélen_Bouvet_Crozet Islands","Australia_Antarctica_Australia_Australia_France_New Zealand_NA_France_Norway_France"
"Halobaena caerulea_France.tif",12,"Amsterdam and Saint Paul Islands_Kerguélen_Heard and McDonald Islands_NA_Crozet Islands_Prince Edward Islands_Bouvet_Macquarie Island_Australia_Antarctica_New Zealand_South Georgia and the South Sandwich Islands","France_France_Australia_NA_France_South Africa_Norway_Australia_Australia_Antarctica_New Zealand_United Kingdom"
"Halobaena caerulea_UK.tif",8,"South Georgia and the South Sandwich Islands_Falkland / Malvinas Islands_NA_Bouvet_Argentina_Antarctica_Chile_New Zealand","United Kingdom_United Kingdom_NA_Norway_Argentina_Antarctica_Chile_New Zealand"
"Hydrobates castro_Portugal.tif",64,"Ceuta_Perejil Island_Gibraltar_Azores_Morocco_Spain_Bahamas_Portugal_Madeira_France_Cayman Islands_Honduras_Turks and Caicos Islands_Bermuda_Puerto Rico_United States_Cuba_Dominican Republic_British Virgin Islands_Serranilla Bank_Ecuador_France_Costa Rica_Jamaica_Colombia_Honduras_Mexico_Bajo Nuevo Bank_Anguilla_Jamaica_Jersey_Costa Rica_Puerto Rico_Serrana Bank_Quitasueño Bank_Navassa Island_Ecuador_El Salvador_Guatemala_Nicaragua_Panama_NA_Collectivity of Saint Martin_Belize_Saba_United States Virgin Islands_Galapagos_Ireland_Antigua and Barbuda_Sint-Maarten_Saint-Barthélemy_Peru_Canary Islands_Haiti_Guernsey_Sint-Eustatius_United Kingdom_Saint Kitts and Nevis_Montserrat_Guadeloupe_Peru_Bonaire_Curaçao_Venezuela","Spain_Spain_United Kingdom_Portugal_Morocco_Spain_Bahamas_Portugal_Portugal_France_United Kingdom_Honduras_United Kingdom_United Kingdom_United States_United States_Cuba_Dominican Republic_United Kingdom_Colombia_Ecuador_France_Costa Rica_Jamaica_Colombia_Honduras_Mexico_Colombia_United Kingdom_Jamaica_United Kingdom_Costa Rica_United States_Colombia_Colombia_Haiti_Ecuador_El Salvador_Guatemala_Nicaragua_Panama_NA_France_Belize_Netherlands_United States_Ecuador_Ireland_Antigua and Barbuda_Netherlands_France_Peru_Spain_Haiti_United Kingdom_Netherlands_United Kingdom_Saint Kitts and Nevis_United Kingdom_France_Peru_Netherlands_Netherlands_Venezuela"
"Hydrobates castro_UK.tif",2,"Saint Helena_NA","United Kingdom_NA"
"Hydrobates furcatus_Canada.tif",4,"United States_Canada_NA_Alaska","United States_Canada_NA_United States"
"Hydrobates jabejabe_Cape Verde.tif",6,"Cape Verde_Senegal_Senegal_Gambia_Guinea-Bissau_NA","Cape Verde_Senegal_Senegal_Gambia_Guinea-Bissau_NA"
"Hydrobates leucorhous_Canada.tif",16,"United States_Mexico_Clipperton Island_Canada_Ecuador_Peru_Bermuda_Ecuador_Costa Rica_NA_Galapagos_Peru_Costa Rica_Saint-Pierre and Miquelon_Colombia_Alaska","United States_Mexico_France_Canada_Ecuador_Peru_United Kingdom_Ecuador_Costa Rica_NA_Ecuador_Peru_Costa Rica_France_Colombia_United States"
"Hydrobates monteiroi_Portugal.tif",2,"Azores_NA","Portugal_NA"
"Hydrobates pelagicus_Ireland.tif",3,"Ireland_United Kingdom_NA","Ireland_United Kingdom_NA"
"Hydrobates pelagicus_Italy.tif",7,"Monaco_Italy_Algeria_Spain_Vatican City_France_Tunisia","Monaco_Italy_Algeria_Spain_Vatican City_France_Tunisia"
"Hydrobates pelagicus_Malta.tif",25,"Malta_Tunisia_Italy_Libya_Vatican City_Algeria_Croatia_Albania_Montenegro_San Marino_Spain_Monaco_Ceuta_Perejil Island_Gibraltar_Melilla_Greece_France_Jersey_France_Morocco_Guernsey_United Kingdom_Ireland_NA","Malta_Tunisia_Italy_Libya_Vatican City_Algeria_Croatia_Albania_Montenegro_San Marino_Spain_Monaco_Spain_Spain_United Kingdom_Spain_Greece_France_United Kingdom_France_Morocco_United Kingdom_United Kingdom_Ireland_NA"
"Hydrobates pelagicus_Spain.tif",7,"Melilla_Ceuta_Perejil Island_Gibraltar_Algeria_Spain_Morocco","Spain_Spain_Spain_United Kingdom_Algeria_Spain_Morocco"
"Hydrobates pelagicus_UK.tif",7,"United Kingdom_United Kingdom_Norway_Faeroe_Denmark_Netherlands_Germany","United Kingdom_United Kingdom_Norway_Denmark_Denmark_Netherlands_Germany"
"Oceanites oceanicus_UK.tif",2,"Antarctica_NA","Antarctica_NA"
"Pachyptila belcheri_France.tif",10,"Amsterdam and Saint Paul Islands_South Africa_NA_Tristan da Cunha_Crozet Islands_Kerguélen_Heard and McDonald Islands_Bouvet_Prince Edward Islands_Antarctica","France_South Africa_NA_United Kingdom_France_France_Australia_Norway_South Africa_Antarctica"
"Pachyptila belcheri_UK.tif",9,"Argentina_Uruguay_Falkland / Malvinas Islands_Uruguay_Chile_NA_Bouvet_South Georgia and the South Sandwich Islands_Antarctica","Argentina_Uruguay_United Kingdom_Uruguay_Chile_NA_Norway_United Kingdom_Antarctica"
"Pachyptila desolata_France.tif",11,"Amsterdam and Saint Paul Islands_Madagascar_NA_Australia_Prince Edward Islands_Crozet Islands_Europa Island_Kerguélen_Heard and McDonald Islands_New Zealand_Antarctica","France_Madagascar_NA_Australia_South Africa_France_France_France_Australia_New Zealand_Antarctica"
