species,population,month,sp_pop,sp_pop_month,exposure_score
Bulweria bulwerii,Azores,11,Bulweria bulwerii_Azores,Bulweria bulwerii_Azores_11,4.4033
Bulweria bulwerii,Azores,12,Bulweria bulwerii_Azores,Bulweria bulwerii_Azores_12,26.6054
Bulweria bulwerii,Canarias,1,Bulweria bulwerii_Canarias,Bulweria bulwerii_Canarias_01,45.5498
Bulweria bulwerii,Canarias,2,Bulweria bulwerii_Canarias,Bulweria bulwerii_Canarias_02,68.3617
Bulweria bulwerii,Canarias,4,Bulweria bulwerii_Canarias,Bulweria bulwerii_Canarias_04,1.0204
Bulweria bulwerii,Canarias,5,Bulweria bulwerii_Canarias,Bulweria bulwerii_Canarias_05,3.275
Bulweria bulwerii,Canarias,6,Bulweria bulwerii_Canarias,Bulweria bulwerii_Canarias_06,4.6227
Bulweria bulwerii,Canarias,7,Bulweria bulwerii_Canarias,Bulweria bulwerii_Canarias_07,5.796
Bulweria bulwerii,Canarias,8,Bulweria bulwerii_Canarias,Bulweria bulwerii_Canarias_08,6.0649
Bulweria bulwerii,Canarias,9,Bulweria bulwerii_Canarias,Bulweria bulwerii_Canarias_09,4.2673
Bulweria bulwerii,Canarias,10,Bulweria bulwerii_Canarias,Bulweria bulwerii_Canarias_10,1.8877
Bulweria bulwerii,Canarias,11,Bulweria bulwerii_Canarias,Bulweria bulwerii_Canarias_11,1.101
Bulweria bulwerii,Canarias,12,Bulweria bulwerii_Canarias,Bulweria bulwerii_Canarias_12,21.1203
Bulweria bulwerii,Cape Verde,1,Bulweria bulwerii_Cape Verde,Bulweria bulwerii_Cape Verde_01,0.7135
Bulweria bulwerii,Cape Verde,2,Bulweria bulwerii_Cape Verde,Bulweria bulwerii_Cape Verde_02,0.9869
Bulweria bulwerii,Cape Verde,3,Bulweria bulwerii_Cape Verde,Bulweria bulwerii_Cape Verde_03,0.508
Bulweria bulwerii,Cape Verde,4,Bulweria bulwerii_Cape Verde,Bulweria bulwerii_Cape Verde_04,0.2937
Bulweria bulwerii,Cape Verde,5,Bulweria bulwerii_Cape Verde,Bulweria bulwerii_Cape Verde_05,0.2682
Bulweria bulwerii,Cape Verde,6,Bulweria bulwerii_Cape Verde,Bulweria bulwerii_Cape Verde_06,0.2807
Bulweria bulwerii,Cape Verde,7,Bulweria bulwerii_Cape Verde,Bulweria bulwerii_Cape Verde_07,0.2265
Bulweria bulwerii,Cape Verde,8,Bulweria bulwerii_Cape Verde,Bulweria bulwerii_Cape Verde_08,0.2498
Bulweria bulwerii,Cape Verde,9,Bulweria bulwerii_Cape Verde,Bulweria bulwerii_Cape Verde_09,1.8792
Bulweria bulwerii,Cape Verde,10,Bulweria bulwerii_Cape Verde,Bulweria bulwerii_Cape Verde_10,0.665
Bulweria bulwerii,Cape Verde,11,Bulweria bulwerii_Cape Verde,Bulweria bulwerii_Cape Verde_11,0.249
Bulweria bulwerii,Cape Verde,12,Bulweria bulwerii_Cape Verde,Bulweria bulwerii_Cape Verde_12,0.3278
Bulweria bulwerii,Madeira,1,Bulweria bulwerii_Madeira,Bulweria bulwerii_Madeira_01,20.1201
Bulweria bulwerii,Madeira,2,Bulweria bulwerii_Madeira,Bulweria bulwerii_Madeira_02,28.7698
Bulweria bulwerii,Madeira,3,Bulweria bulwerii_Madeira,Bulweria bulwerii_Madeira_03,5.5983
Bulweria bulwerii,Madeira,4,Bulweria bulwerii_Madeira,Bulweria bulwerii_Madeira_04,5.7309
Bulweria bulwerii,Madeira,5,Bulweria bulwerii_Madeira,Bulweria bulwerii_Madeira_05,5.2571
Bulweria bulwerii,Madeira,6,Bulweria bulwerii_Madeira,Bulweria bulwerii_Madeira_06,5.3127
Bulweria bulwerii,Madeira,7,Bulweria bulwerii_Madeira,Bulweria bulwerii_Madeira_07,5.1928
