"UNION","MRGID_EEZ","TERRITORY1","MRGID_TER1","ISO_TER1","UN_TER1","SOVEREIGN1","MRGID_SOV1","ISO_SOV1","UN_SOV1","TERRITORY2","MRGID_TER2","ISO_TER2","UN_TER2","SOVEREIGN2","MRGID_SOV2","ISO_SOV2","UN_SOV2","TERRITORY3","MRGID_TER3","ISO_TER3","UN_TER3","SOVEREIGN3","MRGID_SOV3","ISO_SOV3","UN_SOV3","POL_TYPE","Y_1","x_1","AREA_KM2","id","over","prop","sp_country","species","breeding_country"
"Joint regime area Senegal / Guinea Bissau","48964","Senegal","2225","SEN","686","Senegal","2225","SEN","686","Guinea-Bissau","8685","GNB","624","Guinea-Bissau","8685","GNB","624",NA,"0",NA,NA,NA,"0",NA,NA,"Joint regime (EEZ)",11.261,-18.77443,"63460","304",1.06127903051293e-11,4.56894355066658e-06,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Guinea","8472","Guinea","2122","GIN","324","Guinea","2122","GIN","324",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",10.07014,-12.30861,"346871","169",1.01400834885863e-11,4.36543714955014e-06,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Argentina","8466","Argentina","2149","ARG","32","Argentina","2149","ARG","32",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-39.07352,-64.21943,"3851647","207",8.22609228484558e-12,3.54143917023105e-06,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Senegal","8371","Senegal","2225","SEN","686","Senegal","2225","SEN","686",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",14.0656,-16.26891,"353555","34",7.64153781867054e-12,3.28978090869421e-06,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Gambia","8370","Gambia","2113","GMB","270","Gambia","2113","GMB","270",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",13.36799,-17.4335,"33723","234",6.22224732675647e-12,2.67875798700141e-06,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Sierra Leone","8390","Sierra Leone","2191","SLE","694","Sierra Leone","2191","SLE","694",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",7.23494,-13.41098,"232908","128",5.99824743549350e-12,2.58232313536383e-06,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Faeroe","8435","Faeroe","3297","FRO","234","Denmark","2157","DNK","208",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",62.59187,-6.99635,"267048","7",5.57701746725406e-12,2.40097818352727e-06,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Ascension","8379","Ascension","8620","SHN","654","United Kingdom","2208","GBR","826",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-7.94747,-14.36337,"446105","211",1.88994290261494e-12,8.13644874511196e-07,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Greenland","8438","Greenland","2260","GRL","304","Denmark","2157","DNK","208",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",75.13542,-36.40807,"4437543","120",5.76754700442797e-13,2.48300361463953e-07,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Liberia","8391","Liberia","2105","LBR","430","Liberia","2105","LBR","430",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",4.53429,-9.93744,"347612","180",2.06132465811383e-13,8.87426937849442e-08,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Angola","8478","Angola","2150","AGO","24","Angola","2150","AGO","24",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-12.12815,15.69862,"1742906","70",1.80975168411565e-13,7.79121517312161e-08,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Iceland","5680","Iceland","2129","ISL","352","Iceland","2129","ISL","352",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",64.73246,-18.46504,"865631","236",4.82480632855547e-14,2.07714155507383e-08,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Madagascar","8348","Madagascar","7963","MDG","450","Madagascar","7963","MDG","450",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-20.40898,47.07263,"1786627","229",3.993919621824e-14,1.71943407655891e-08,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Uruguay","8467","Uruguay","2216","URY","858","Uruguay","2216","URY","858",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-34.15741,-54.78948,"320455","59",6.80558160917214e-08,0.456838498978295,"Procellaria aequinoctialis_UK","Procellaria aequinoctialis","UK"
"Joint regime area Argentina / Uruguay","48961","Uruguay","2216","URY","858","Uruguay","2216","URY","858","Argentina","2149","ARG","32","Argentina","2149","ARG","32",NA,"0",NA,NA,NA,"0",NA,NA,"Joint regime (EEZ)",-36.25493,-55.16096,"41414","302",6.28792862222838e-08,0.422089990014961,"Procellaria aequinoctialis_UK","Procellaria aequinoctialis","UK"
"Argentina","8466","Argentina","2149","ARG","32","Argentina","2149","ARG","32",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-39.07352,-64.21943,"3851647","207",9.91168714755295e-09,0.0665342146911873,"Procellaria aequinoctialis_UK","Procellaria aequinoctialis","UK"
"Brazil","8464","Brazil","2143","BRA","76","Brazil","2143","BRA","76",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-10.86316,-49.30546,"11678267","114",7.90246622199671e-09,0.0530469108212312,"Procellaria aequinoctialis_UK","Procellaria aequinoctialis","UK"
"Falkland Islands","8389","Falkland / Malvinas Islands","8623","FLK","238","United Kingdom","2208","GBR","826","Falkland / Malvinas Islands","8623","FLK","238","Argentina","2149","ARG","32",NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-51.66866,-58.346,"562944","108",1.04784301899118e-10,0.000703385925628545,"Procellaria aequinoctialis_UK","Procellaria aequinoctialis","UK"
"Chile","8465","Chile","2165","CHL","152","Chile","2165","CHL","152",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-40.31881,-74.67069,"3244212","104",5.74743131378577e-11,0.000385808009536181,"Procellaria aequinoctialis_UK","Procellaria aequinoctialis","UK"
"High Seas",NA,"High Seas",NA,NA,NA,"High Seas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.57921067863752e-11,0.000374515857465779,"Procellaria aequinoctialis_UK","Procellaria aequinoctialis","UK"
"South Georgia and the South Sandwich Islands","8383","South Georgia and the South Sandwich Islands","8624","SGS","239","United Kingdom","2208","GBR","826","South Georgia and the South Sandwich Islands","8624","SGS","239","Argentina","2149","ARG","32",NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-56.51867,-31.27742,"1241743","144",3.94488618993796e-12,2.64808504128817e-05,"Procellaria aequinoctialis_UK","Procellaria aequinoctialis","UK"
"Antarctica","8489","Antarctica","1926","ATA","10","Antarctica","1926","ATA","10",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-77.78128,11.74745,"22143430","150",2.9027244907458e-14,1.94851281705688e-07,"Procellaria aequinoctialis_UK","Procellaria aequinoctialis","UK"
